ID,ElevationIV,SLPangleIV,ProflieCVTIV,RoadDISTIV,LINEDISTIV,RSMTIV,LanduseIV,TopographyIV,NDVIIV,Class
334051,0.254,0.0002,0.0367,0.0362,0.009,0.000932773,0.3193,0.2153,0.1678,landslide
336014,0.254,0.0543,0.0367,0.2612,0.1484,0.0174,0.3149,0.095,0.5389,landslide
336276,0.3338,0.0543,0.0367,0.1801,0.1484,0.0174,0.1025,0.2153,0.2815,landslide
336552,0.254,0.0856,0.0682,0.0032,0.1484,0.0174,0.1381,0.095,0.006,landslide
342293,0.254,0.0002,0.0367,0.1801,0.1484,0.000932773,0.3193,0.2153,0.1678,landslide
337405,0.254,0.0856,0.0367,0.0362,0.1484,0.0417,0.3149,0.095,0.5389,landslide
341253,0.254,0.0856,0.0367,0.0362,0.1484,0.0174,0.3149,0.095,0.0079,landslide
341767,0.3338,0.0543,0.0367,0.1801,0.1484,0.0174,0.1025,0.2153,0.2815,landslide
344483,0.254,0.0543,0.0367,0.4077,0.009,0.000932773,0.3193,0.2153,0.1678,landslide
344563,0.254,0.0002,0.0367,0.2612,0.1484,0.0174,0.3193,0.095,0.1678,landslide
346207,0.0254,0.0002,0.0367,0.2612,0.1484,0.0174,0.3193,0.095,0.0079,landslide
348385,0.254,0.0002,0.0682,0.4077,0.1484,0.0417,0.3193,0.2153,0.1678,landslide
352758,0.3338,0.0543,0.0367,0.4077,0.1484,0.0417,0.1025,0.2153,0.2815,landslide
348335,0.254,0.0543,0.0367,0.1801,0.1484,0.000932773,0.3193,0.2153,0.0873,landslide
349366,0.0254,0.0002,0.0367,0.1077,0.5719,0.2263,0.3149,0.095,0.1678,landslide
350476,0.254,0.0856,0.0367,0.2612,0.5719,0.2263,0.3193,0.095,0.0079,landslide
351020,0.254,0.0543,0.0367,0.2612,0.5719,0.2263,0.3149,0.095,0.1678,landslide
356097,0.254,0.0856,0.0367,0.0032,0.1484,0.0005,0.3149,0.095,0.006,landslide
357201,0.254,0.0543,0.0367,0.0362,0.009,0.0005,0.3193,0.095,0.006,landslide
357745,0.254,0.0002,0.0682,0.0032,0.1484,0.0005,0.3193,0.095,0.1678,landslide
359881,0.254,0.0002,0.0367,0.1801,0.1484,0.0005,0.2328,0.2153,0.0079,landslide
